Input Direction,Data Type,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Compress Time,Uncompress Time,Compressed Size,Compression Ratio
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,PLAIN,UNCOMPRESSED,1365377,608539,94,28,400004.0,1.0
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,PLAIN,LZ4,1171454,440535,50274,191812,7682.0,0.01920480795192048
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,PLAIN,GZIP,841044,314517,904919,593692,3065.0,0.007662423375766238
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,PLAIN,SNAPPY,1013112,358985,2256259,37410,23759.0,0.059396906030939646
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,TS_2DIFF,UNCOMPRESSED,1560169,908073,578,467,26612.0,0.066529334706653
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,TS_2DIFF,LZ4,449068,320355,20415,50553,8033.0,0.020082299177008222
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,TS_2DIFF,GZIP,511554,325222,322390,64422,3763.0,0.009407405925940747
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,TS_2DIFF,SNAPPY,442582,310577,20933,9219,6800.0,0.016999830001699995
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLE,UNCOMPRESSED,2133216,975191,285,146,18828.0,0.047069529304706946
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLE,LZ4,740000,389711,12973,27615,5425.0,0.01356236437635624
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLE,GZIP,804794,348723,111812,45894,2712.0,0.006779932200677998
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLE,SNAPPY,839401,346469,13288,6087,4843.0,0.01210737892621073
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,SPRINTZ,UNCOMPRESSED,2989116,824407,635,488,45595.0,0.11398636013639864
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,SPRINTZ,LZ4,2116469,612093,17224,29694,6838.0,0.017094829051709472
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,SPRINTZ,GZIP,2021898,611193,310944,83426,3697.0,0.009242407575924247
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,SPRINTZ,SNAPPY,2133450,611374,19099,9650,7333.0,0.018332316676833223
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,GORILLA,UNCOMPRESSED,909496,578990,423,402,17392.0,0.043479565204347974
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,GORILLA,LZ4,374971,318897,12598,15273,5130.0,0.01282487175128248
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,GORILLA,GZIP,371361,319134,158709,44006,2804.0,0.007009929900700988
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,GORILLA,SNAPPY,383200,327936,15169,6486,4646.0,0.011614883851161493
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLBE,UNCOMPRESSED,3394004,625401,871,552,22137.0,0.05534194658053423
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLBE,LZ4,2196114,423489,15784,19143,5878.0,0.014694853051469479
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLBE,GZIP,2262410,437909,226189,59838,3580.0,0.008949910500894996
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RLBE,SNAPPY,2293343,449455,20147,8780,5709.0,0.014272357276427245
./Datasets/Real-World/Numerical/INT32/data/6.csv,INT32,RAKE,UNCOMPRESSED,23913315,750,528,474,300003.0,0.75
