DataType,Compression,Encoding,Compression Ratio
INT32,NONE,RAKE,0.3057244427555724
INT32,NONE,RLE,0.07146261870714626
INT32,NONE,TS_2DIFF,0.07790588760779059
INT32,NONE,GORILLA,0.06875431245687542
INT32,NONE,PLAIN,0.3890577760889058
INT32,NONE,SPRINTZ,0.09383822828438382
INT32,NONE,RLBE,0.07719089475771909
INT32,GZIP,RAKE,0.04297790355429779
INT32,GZIP,RLE,0.04236040972923604
INT32,GZIP,TS_2DIFF,0.043361233054336125
INT32,GZIP,GORILLA,0.04279290540427929
INT32,GZIP,PLAIN,0.04327040062932704
INT32,GZIP,SPRINTZ,0.04315290180431529
INT32,GZIP,RLBE,0.0529919700802992
INT32,LZ4,RAKE,0.052216144505221614
INT32,LZ4,RLE,0.0509919900800992
INT32,LZ4,TS_2DIFF,0.05337946620533795
INT32,LZ4,GORILLA,0.050516161505051616
INT32,LZ4,PLAIN,0.056027773055602775
INT32,LZ4,SPRINTZ,0.05233364333023337
INT32,LZ4,RLBE,0.058865244680886525
INT32,SNAPPY,RAKE,0.059162741705916275
INT32,SNAPPY,RLE,0.0500619993800062
INT32,SNAPPY,TS_2DIFF,0.051783648830178365
INT32,SNAPPY,GORILLA,0.0497870021299787
INT32,SNAPPY,PLAIN,0.0646860198064686
INT32,SNAPPY,SPRINTZ,0.05199781335519978
INT32,SNAPPY,RLBE,0.05852108145585211
INT32,NONE,RAKE,0.015372346276537234
INT32,NONE,RLE,0.0022266444002226643
INT32,NONE,TS_2DIFF,0.0034299657003429964
INT32,NONE,GORILLA,0.0025391412752539142
INT32,NONE,PLAIN,0.02926220737792622
INT32,NONE,SPRINTZ,0.003925794075392579
INT32,NONE,RLBE,0.003819961800381996
INT32,GZIP,RAKE,0.0007924920750792492
INT32,GZIP,RLE,0.0007966587000796659
INT32,GZIP,TS_2DIFF,0.0007949920500794993
INT32,GZIP,GORILLA,0.0007608257250760825
INT32,GZIP,PLAIN,0.0008449915500844991
INT32,GZIP,SPRINTZ,0.0007808255250780825
INT32,GZIP,RLBE,0.0016233171001623318
INT32,LZ4,RAKE,0.0014641520251464151
INT32,LZ4,RLE,0.0010766559001076656
INT32,LZ4,TS_2DIFF,0.0012266544001226655
INT32,LZ4,GORILLA,0.001017489825101749
INT32,LZ4,PLAIN,0.0017549824501754982
INT32,LZ4,SPRINTZ,0.0011666550001166655
INT32,LZ4,RLBE,0.0019633137001963314
INT32,SNAPPY,RAKE,0.0017074829251707484
INT32,SNAPPY,RLE,0.001062489375106249
INT32,SNAPPY,TS_2DIFF,0.0011283220501128322
INT32,SNAPPY,GORILLA,0.0009933234000993323
INT32,SNAPPY,PLAIN,0.0024041426252404143
INT32,SNAPPY,SPRINTZ,0.0011108222251110821
INT32,SNAPPY,RLBE,0.0019291473751929147
INT32,NONE,RAKE,0.015252347476525235
INT32,NONE,RLE,0.010411562551041156
INT32,NONE,TS_2DIFF,0.005645776875564577
INT32,NONE,GORILLA,0.010033233001003323
