DataSet,DataType,Compressor,Encoding,Insert Time,Select Time
ingestion/INT32,INT32,SNAPPY,RAKE,0.04227948188781738,0.014747118949890137
ingestion/INT32,INT32,SNAPPY,RLE,0.043407249450683597,0.016048741340637208
ingestion/INT32,INT32,SNAPPY,TS_2DIFF,0.04319508075714111,0.016461658477783202
ingestion/INT32,INT32,SNAPPY,GORILLA,0.044199657440185544,0.018165326118469237
ingestion/INT32,INT32,SNAPPY,PLAIN,0.04305808544158936,0.01567525863647461
ingestion/INT32,INT32,SNAPPY,SPRINTZ,0.042604923248291016,0.016422486305236815
ingestion/INT32,INT32,SNAPPY,RLBE,0.0444256067276001,0.017972278594970702
ingestion/INT32,INT32,GZIP,RAKE,0.04408555030822754,0.015973329544067383
ingestion/INT32,INT32,GZIP,RLE,0.04401893615722656,0.016460704803466796
ingestion/INT32,INT32,GZIP,TS_2DIFF,0.042740273475646975,0.014078569412231446
ingestion/INT32,INT32,GZIP,GORILLA,0.04404728412628174,0.014893436431884765
ingestion/INT32,INT32,GZIP,PLAIN,0.044405436515808104,0.015706777572631836
ingestion/INT32,INT32,GZIP,SPRINTZ,0.04390008449554443,0.017157554626464844
ingestion/INT32,INT32,GZIP,RLBE,0.04363934993743897,0.019848179817199708
ingestion/INT32,INT32,UNCOMPRESSED,RAKE,0.043557047843933105,0.018498659133911133
ingestion/INT32,INT32,UNCOMPRESSED,RLE,0.04342441558837891,0.017203760147094727
ingestion/INT32,INT32,UNCOMPRESSED,TS_2DIFF,0.044371747970581056,0.019321775436401366
ingestion/INT32,INT32,UNCOMPRESSED,GORILLA,0.04497079849243164,0.016875314712524413
ingestion/INT32,INT32,UNCOMPRESSED,PLAIN,0.04436075687408447,0.018174028396606444
ingestion/INT32,INT32,UNCOMPRESSED,SPRINTZ,0.042348694801330564,0.016649961471557617
ingestion/INT32,INT32,UNCOMPRESSED,RLBE,0.04307868480682373,0.019519877433776856
ingestion/INT32,INT32,LZ4,RAKE,0.0440925121307373,0.01794755458831787
ingestion/INT32,INT32,LZ4,RLE,0.046002197265625,0.015876102447509765
ingestion/INT32,INT32,LZ4,TS_2DIFF,0.04457836151123047,0.016962361335754395
ingestion/INT32,INT32,LZ4,GORILLA,0.04435606002807617,0.01726083755493164
ingestion/INT32,INT32,LZ4,PLAIN,0.0444455623626709,0.015564894676208496
ingestion/INT32,INT32,LZ4,SPRINTZ,0.044461297988891604,0.01766195297241211
ingestion/INT32,INT32,LZ4,RLBE,0.043469357490539554,0.01715719699859619
ingestion/INT32,INT32,SNAPPY,RAKE,0.04419529438018799,0.004850363731384278
ingestion/INT32,INT32,SNAPPY,RLE,0.04205663204193115,0.004569530487060547
ingestion/INT32,INT32,SNAPPY,TS_2DIFF,0.04405446052551269,0.004735493659973144
ingestion/INT32,INT32,SNAPPY,GORILLA,0.044442033767700194,0.006171584129333496
ingestion/INT32,INT32,SNAPPY,PLAIN,0.04365105628967285,0.007518672943115234
ingestion/INT32,INT32,SNAPPY,SPRINTZ,0.04333574771881103,0.009540247917175292
ingestion/INT32,INT32,SNAPPY,RLBE,0.04305477142333984,0.010358524322509766
ingestion/INT32,INT32,GZIP,RAKE,0.04440138339996338,0.00810227394104004
ingestion/INT32,INT32,GZIP,RLE,0.044609880447387694,0.010237336158752441
ingestion/INT32,INT32,GZIP,TS_2DIFF,0.04452683925628662,0.008787775039672851
ingestion/INT32,INT32,GZIP,GORILLA,0.04419772624969483,0.009692502021789551
ingestion/INT32,INT32,GZIP,PLAIN,0.04338593482971191,0.01113741397857666
ingestion/INT32,INT32,GZIP,SPRINTZ,0.04329624176025391,0.009379816055297852
ingestion/INT32,INT32,GZIP,RLBE,0.04307601451873779,0.011942887306213379
ingestion/INT32,INT32,UNCOMPRESSED,RAKE,0.04474177360534668,0.009710121154785156
ingestion/INT32,INT32,UNCOMPRESSED,RLE,0.04261250495910644,0.010688328742980957
ingestion/INT32,INT32,UNCOMPRESSED,TS_2DIFF,0.04388570785522461,0.012108683586120605
ingestion/INT32,INT32,UNCOMPRESSED,GORILLA,0.04278562068939209,0.01019911766052246
ingestion/INT32,INT32,UNCOMPRESSED,PLAIN,0.04201741218566894,0.011893844604492188
ingestion/INT32,INT32,UNCOMPRESSED,SPRINTZ,0.04581918716430664,0.011613821983337403
ingestion/INT32,INT32,UNCOMPRESSED,RLBE,0.042179441452026366,0.012027406692504882
ingestion/INT32,INT32,LZ4,RAKE,0.043231534957885745,0.012111401557922364
ingestion/INT32,INT32,LZ4,RLE,0.044635009765625,0.014901280403137207
ingestion/INT32,INT32,LZ4,TS_2DIFF,0.04456272125244141,0.0160247802734375
ingestion/INT32,INT32,LZ4,GORILLA,0.04357731342315674,0.016689419746398926
ingestion/INT32,INT32,LZ4,PLAIN,0.04386324882507324,0.014903807640075683
ingestion/INT32,INT32,LZ4,SPRINTZ,0.0419647216796875,0.01732158660888672
ingestion/INT32,INT32,LZ4,RLBE,0.043752288818359374,0.015886592864990234
ingestion/INT32,INT32,SNAPPY,RAKE,0.09233169555664063,0.02297084331512451
ingestion/INT32,INT32,SNAPPY,RLE,0.03744127750396729,0.019972467422485353
ingestion/INT32,INT32,SNAPPY,TS_2DIFF,0.03746180534362793,0.015610671043395996
ingestion/INT32,INT32,SNAPPY,GORILLA,0.038635754585266115,0.01594228744506836
ingestion/INT32,INT32,SNAPPY,PLAIN,0.03752048015594482,0.017354869842529298
ingestion/INT32,INT32,SNAPPY,SPRINTZ,0.03787078857421875,0.017627406120300292
ingestion/INT32,INT32,SNAPPY,RLBE,0.03899507522583008,0.01887226104736328
ingestion/INT32,INT32,GZIP,RAKE,0.03808093070983887,0.01942758560180664
ingestion/INT32,INT32,GZIP,RLE,0.03782124519348144,0.019786524772644042
ingestion/INT32,INT32,GZIP,TS_2DIFF,0.0367621898651123,0.02036113739013672
ingestion/INT32,INT32,GZIP,GORILLA,0.03926444053649902,0.021982526779174803
ingestion/INT32,INT32,GZIP,PLAIN,0.03914408683776856,0.022511863708496095
ingestion/INT32,INT32,GZIP,SPRINTZ,0.0382498025894165,0.023030543327331544
ingestion/INT32,INT32,GZIP,RLBE,0.03750596046447754,0.023934006690979004
ingestion/INT32,INT32,UNCOMPRESSED,RAKE,0.037636733055114745,0.023929595947265625
ingestion/INT32,INT32,UNCOMPRESSED,RLE,0.03771636486053467,0.024274539947509766
ingestion/INT32,INT32,UNCOMPRESSED,TS_2DIFF,0.03695602416992187,0.025308632850646974
ingestion/INT32,INT32,UNCOMPRESSED,GORILLA,0.03752734661102295,0.025981926918029787
ingestion/INT32,INT32,UNCOMPRESSED,PLAIN,0.038819313049316406,0.026717567443847658
ingestion/INT32,INT32,UNCOMPRESSED,SPRINTZ,0.03809082508087158,0.02753283977508545
ingestion/INT32,INT32,UNCOMPRESSED,RLBE,0.03866281509399414,0.027842187881469728
ingestion/INT32,INT32,LZ4,RAKE,0.03800520896911621,0.02928736209869385
ingestion/INT32,INT32,LZ4,RLE,0.038876581192016604,0.02975802421569824
ingestion/INT32,INT32,LZ4,TS_2DIFF,0.037531471252441405,0.029712104797363283
ingestion/INT32,INT32,LZ4,GORILLA,0.03846938610076904,0.030537939071655272
ingestion/INT32,INT32,LZ4,PLAIN,0.038103795051574706,0.030475521087646486
ingestion/INT32,INT32,LZ4,SPRINTZ,0.03789496421813965,0.032818055152893065
ingestion/INT32,INT32,LZ4,RLBE,0.03690271377563477,0.03113057613372803
ingestion/INT32,INT32,SNAPPY,RAKE,0.0716695785522461,0.030922651290893555
ingestion/INT32,INT32,SNAPPY,RLE,0.043984079360961915,0.029375910758972168
ingestion/INT32,INT32,SNAPPY,TS_2DIFF,0.042608213424682614,0.03066995143890381
ingestion/INT32,INT32,SNAPPY,GORILLA,0.043956756591796875,0.029629778861999512
ingestion/INT32,INT32,SNAPPY,PLAIN,0.04525439739227295,0.030079746246337892
ingestion/INT32,INT32,SNAPPY,SPRINTZ,0.043164515495300294,0.029896306991577148
ingestion/INT32,INT32,SNAPPY,RLBE,0.04668965339660645,0.03937101364135742
ingestion/INT32,INT32,GZIP,RAKE,0.04708430767059326,0.03134000301361084
ingestion/INT32,INT32,GZIP,RLE,0.04614059925079346,0.03096432685852051
ingestion/INT32,INT32,GZIP,TS_2DIFF,0.04778070449829101,0.031862401962280275
ingestion/INT32,INT32,GZIP,GORILLA,0.04741911888122559,0.032961130142211914
ingestion/INT32,INT32,GZIP,PLAIN,0.045164847373962404,0.035303711891174316
ingestion/INT32,INT32,GZIP,SPRINTZ,0.04617166519165039,0.03416533470153808
ingestion/INT32,INT32,GZIP,RLBE,0.046629810333251955,0.04192032814025879
ingestion/INT32,INT32,UNCOMPRESSED,RAKE,0.04631750583648682,0.036643171310424806
ingestion/INT32,INT32,UNCOMPRESSED,RLE,0.045706439018249514,0.035918378829956056
ingestion/INT32,INT32,UNCOMPRESSED,TS_2DIFF,0.04538662433624267,0.03662002086639404
ingestion/INT32,INT32,UNCOMPRESSED,GORILLA,0.044925880432128903,0.035862064361572264
ingestion/INT32,INT32,UNCOMPRESSED,PLAIN,0.04699671268463135,0.038381099700927734
ingestion/INT32,INT32,UNCOMPRESSED,SPRINTZ,0.046150588989257814,0.038399791717529295
ingestion/INT32,INT32,UNCOMPRESSED,RLBE,0.04602117538452148,0.048246121406555174
ingestion/INT32,INT32,LZ4,RAKE,0.047261381149291994,0.040270233154296876
